Gender,Bike,Skate,Hsize,Time,Convenience,Cost,Safety,Environment,Health,Weather,Parking,Distance,Age_20 και κάτω,Age_21 - 30,Age_31 -40,Age_41 - 50,Age_51 και ανω,Income_0 - 500,Income_1000 - 1500,Income_1500 και ανω,Income_500 - 1000,Depart_time_06.00 - 09.00,Depart_time_09.00 - 12.00,Depart_time_12.00 - 15.00,Depart_time_Other,Mode
1,0,0,3,35,4,3,4,4,2,4,4,17.2,0,0,0,1,0,0,0,0,1,1,0,0,0,0
1,0,0,4,32,5,5,3,2,4,5,3,2.4,0,1,0,0,0,0,0,0,1,1,0,0,0,2
1,1,1,4,33,3,4,3,3,3,5,3,2.4,1,0,0,0,0,1,0,0,0,0,1,0,0,2
0,0,0,5,25,5,3,5,3,3,3,4,8.6,0,0,1,0,0,0,1,0,0,1,0,0,0,0
1,0,0,5,25,3,5,3,3,3,4,3,5.1,0,1,0,0,0,1,0,0,0,1,0,0,0,1
0,1,0,6,60,2,4,2,2,1,4,5,33.8,0,1,0,0,0,1,0,0,0,1,0,0,0,1
0,0,1,3,20,3,3,3,3,5,4,3,1.4,0,1,0,0,0,1,0,0,0,0,1,0,0,2
1,0,0,4,14,5,3,3,3,3,3,4,3.5,0,0,1,0,0,0,0,0,1,0,1,0,0,0
1,0,0,4,25,3,3,3,4,5,4,2,1.8,1,0,0,0,0,1,0,0,0,0,1,0,0,2
1,0,0,7,8,4,5,5,5,4,4,5,0.85,0,0,0,0,1,0,0,1,0,1,0,0,0,2
0,0,0,3,20,5,5,4,4,4,3,5,14.4,0,0,1,0,0,0,1,0,0,0,1,0,0,0
1,0,0,4,17,4,4,4,4,4,5,2,4.1,0,1,0,0,0,1,0,0,0,0,0,1,0,1
0,1,1,3,44,4,3,3,4,5,5,3,3.2,0,1,0,0,0,0,0,0,1,1,0,0,0,2
1,0,0,4,30,5,2,4,2,2,3,5,8.7,0,0,1,0,0,0,0,1,0,1,0,0,0,0
1,0,0,5,19,4,2,2,2,2,5,5,13.6,0,0,1,0,0,1,0,0,0,1,0,0,0,0
1,0,0,3,60,2,2,4,4,4,4,5,10.2,0,0,0,0,1,0,0,1,0,1,0,0,0,1
0,0,0,4,60,1,3,2,4,5,3,4,8.0,0,1,0,0,0,0,0,0,1,0,1,0,0,1
0,0,0,2,21,4,3,4,2,2,2,2,2.6,0,1,0,0,0,0,1,0,0,0,1,0,0,1
1,0,0,4,21,4,5,3,3,3,4,3,4.2,0,0,1,0,0,0,0,0,1,1,0,0,0,1
0,0,1,4,41,3,3,3,4,4,4,3,3.1,0,1,0,0,0,0,0,0,1,0,1,0,0,2
1,1,0,5,25,3,5,3,4,2,2,3,4.8,0,0,1,0,0,0,0,0,1,1,0,0,0,1
0,0,0,2,44,2,5,2,2,2,2,5,8.7,0,0,0,0,1,0,1,0,0,0,1,0,0,1
0,0,0,5,35,5,3,4,3,3,3,5,10.2,0,0,1,0,0,0,0,1,0,1,0,0,0,0
0,1,0,3,16,5,3,5,4,3,5,5,5.8,0,1,0,0,0,0,0,0,1,1,0,0,0,0
0,0,0,2,5,3,3,4,2,2,4,4,1.9,0,0,0,1,0,0,1,0,0,0,1,0,0,0
1,0,0,3,12,4,3,3,2,5,4,1,0.95,0,1,0,0,0,0,0,0,1,0,0,0,1,2
1,0,0,4,15,5,4,5,4,3,5,5,7.5,0,0,0,1,0,0,0,1,0,1,0,0,0,0
0,0,0,1,26,3,4,2,3,5,3,4,22.5,0,1,0,0,0,0,0,0,1,1,0,0,0,0
1,0,0,5,32,1,5,3,1,4,3,2,4.5,1,0,0,0,0,1,0,0,0,1,0,0,0,1
